company,first_year,last_year,first_year_revenue,last_year_revenue,cagr_percentage
AMZN,2009,2022,24509.0,513983.0,26.38
GOOG,2009,2022,23651.0,282836.0,21.03
AAPL,2009,2022,42905.0,394328.0,18.61
PYPL,2014,2022,8025.0,27518.0,16.65
NVDA,2009,2023,3424.859,26974.0,15.88
MSFT,2009,2023,58437.0,211915.0,9.64
INTC,2009,2022,35127.0,63054.0,4.6
PCG,2009,2022,13399.0,21680.0,3.77
MCD,2009,2022,22744.7,23182.6,0.15
AIG,2009,2022,75447.0,56437.0,-2.21
BCS,2009,2022,45992.04,30868.08,-3.02
SHLDQ,2009,2018,46770.0,16702.0,-10.81