company,year,revenue,yoy_revenue_growth
AAPL,2009,42905.0,
AAPL,2010,65225.0,52.02
AAPL,2011,108249.0,65.96
AAPL,2012,156508.0,44.58
AAPL,2013,170910.0,9.2
AAPL,2014,182795.0,6.95
AAPL,2015,233715.0,27.86
AAPL,2016,215639.0,-7.73
AAPL,2017,229234.0,6.3
AAPL,2018,265595.0,15.86
AAPL,2019,260174.0,-2.04
AAPL,2020,274515.0,5.51
AAPL,2021,365817.0,33.26
AAPL,2022,394328.0,7.79
AIG,2009,75447.0,
AIG,2010,72829.0,-3.47
AIG,2011,65105.0,-10.61
AIG,2012,71214.0,9.38
AIG,2013,68874.0,-3.29
AIG,2014,64406.0,-6.49
AIG,2015,58327.0,-9.44
AIG,2016,52367.0,-10.22
AIG,2017,49520.0,-5.44
AIG,2018,47389.0,-4.3
AIG,2019,49746.0,4.97
AIG,2020,43736.0,-12.08
AIG,2021,52057.0,19.03
AIG,2022,56437.0,8.41
AMZN,2009,24509.0,
AMZN,2010,34204.0,39.56
AMZN,2011,48077.0,40.56
AMZN,2012,61093.0,27.07
AMZN,2013,74452.0,21.87
AMZN,2014,88988.0,19.52
AMZN,2015,107006.0,20.25
AMZN,2016,135987.0,27.08
AMZN,2017,177866.0,30.8
AMZN,2018,232887.0,30.93
AMZN,2019,280522.0,20.45
AMZN,2020,386064.0,37.62
AMZN,2021,469822.0,21.7
AMZN,2022,513983.0,9.4
BCS,2009,45992.04,
BCS,2010,49030.07,6.61
BCS,2011,48866.82,-0.33
BCS,2012,46036.06,-5.79
BCS,2013,43712.69,-5.05
BCS,2014,41677.15,-4.66
BCS,2015,38919.16,-6.62
BCS,2016,29072.54,-25.3
BCS,2017,27162.75,-6.57
BCS,2018,28212.33,3.86
BCS,2019,27621.9,-2.09
BCS,2020,27947.54,1.18
BCS,2021,30169.69,7.95
BCS,2022,30868.08,2.31
GOOG,2009,23651.0,
GOOG,2010,29321.0,23.97
GOOG,2011,37905.0,29.28
GOOG,2012,46039.0,21.46
GOOG,2013,55519.0,20.59
GOOG,2014,66001.0,18.88
GOOG,2015,74989.0,13.62
GOOG,2016,90272.0,20.38
GOOG,2017,110855.0,22.8
GOOG,2018,136819.0,23.42
GOOG,2019,161857.0,18.3
GOOG,2020,182527.0,12.77
GOOG,2021,257637.0,41.15
GOOG,2022,282836.0,9.78
INTC,2009,35127.0,
INTC,2010,43623.0,24.19
INTC,2011,53999.0,23.79
INTC,2012,53341.0,-1.22
INTC,2013,52708.0,-1.19
INTC,2014,55870.0,6.0
INTC,2015,55355.0,-0.92
INTC,2016,59387.0,7.28
INTC,2017,62761.0,5.68
INTC,2018,70848.0,12.89
INTC,2019,71965.0,1.58
INTC,2020,77867.0,8.2
INTC,2021,79024.0,1.49
INTC,2022,63054.0,-20.21
MCD,2009,22744.7,
MCD,2010,24074.6,5.85
MCD,2011,27006.0,12.18
MCD,2012,27567.0,2.08
MCD,2013,28105.7,1.95
MCD,2014,27441.3,-2.36
MCD,2015,25413.0,-7.39
MCD,2016,24621.9,-3.11
MCD,2017,22820.4,-7.32
MCD,2018,21257.9,-6.85
MCD,2019,21364.4,0.5
MCD,2020,19207.8,-10.09
MCD,2021,23222.9,20.9
MCD,2022,23182.6,-0.17
MSFT,2009,58437.0,
MSFT,2010,62484.0,6.93
MSFT,2011,69943.0,11.94
MSFT,2012,73723.0,5.4
MSFT,2013,77849.0,5.6
MSFT,2014,86833.0,11.54
MSFT,2015,93580.0,7.77
MSFT,2016,91154.0,-2.59
MSFT,2017,96571.0,5.94
MSFT,2018,110360.0,14.28
MSFT,2019,125843.0,14.03
MSFT,2020,143015.0,13.65
MSFT,2021,168088.0,17.53
MSFT,2022,198270.0,17.96
MSFT,2023,211915.0,6.88
NVDA,2009,3424.859,
NVDA,2010,3326.445,-2.87
NVDA,2011,3543.309,6.52
NVDA,2012,3997.93,12.83
NVDA,2013,4280.159,7.06
NVDA,2014,4130.0,-3.51
NVDA,2015,4682.0,13.37
NVDA,2016,5010.0,7.01
NVDA,2017,6910.0,37.92
NVDA,2018,9714.0,40.58
NVDA,2019,11716.0,20.61
NVDA,2020,10918.0,-6.81
NVDA,2021,16675.0,52.73
NVDA,2022,26914.0,61.4
NVDA,2023,26974.0,0.22
PCG,2009,13399.0,
PCG,2010,13841.0,3.3
PCG,2011,14956.0,8.06
PCG,2012,15040.0,0.56
PCG,2013,15598.0,3.71
PCG,2014,17090.0,9.57
PCG,2015,16833.0,-1.5
PCG,2016,17666.0,4.95
PCG,2017,17135.0,-3.01
PCG,2018,16759.0,-2.19
PCG,2019,17129.0,2.21
PCG,2020,18469.0,7.82
PCG,2021,20642.0,11.77
PCG,2022,21680.0,5.03
PYPL,2014,8025.0,
PYPL,2015,9248.0,15.24
PYPL,2016,10842.0,17.24
PYPL,2017,13094.0,20.77
PYPL,2018,15451.0,18.0
PYPL,2019,17772.0,15.02
PYPL,2020,21454.0,20.72
PYPL,2021,25371.0,18.26
PYPL,2022,27518.0,8.46
SHLDQ,2009,46770.0,
SHLDQ,2010,43360.0,-7.29
SHLDQ,2011,42664.0,-1.61
SHLDQ,2012,41567.0,-2.57
SHLDQ,2013,39854.0,-4.12
SHLDQ,2014,36188.0,-9.2
SHLDQ,2015,31198.0,-13.79
SHLDQ,2016,25146.0,-19.4
SHLDQ,2017,22138.0,-11.96
SHLDQ,2018,16702.0,-24.56